collocation,count,count_nested,length,lambda,z
new military,2,0,2,5.322314858854615,6.715838402959785
such decisions,2,0,2,5.417909979535636,6.715325253651658
warriors who,10,0,2,2.889318132440747,6.713565855042653
do everything,2,0,2,5.214393522335115,6.705304476520022
united nations,3,0,2,6.706971659348447,6.702614463871716
about it,2,0,2,5.5518893004991146,6.698864249299582
ukraine needs,3,0,2,5.1512001269200045,6.674328087938491
have been,3,0,2,6.659204470244874,6.662430767059528
made it,2,0,2,5.351079522978324,6.655276053968566
one of,10,0,2,2.6523035257102303,6.646750012227839
supporting ukraine,6,0,2,3.095471614565264,6.646095657111269
a new,3,0,2,4.186480309937017,6.630682450054546
are already,4,0,2,3.632673289093037,6.60610756226975
world who,9,0,2,3.357636320679202,6.558123989473345
not stop,2,0,2,6.077294671137409,6.550478290056008
is working,3,0,2,4.563061478840619,6.52715787131848
ukraine and,12,0,2,2.2017435354636516,6.511484666033336
new package,2,0,2,4.942407932928883,6.49263106567705
works for,8,0,2,3.5724078778939514,6.490471117944715
and all,16,0,2,1.8490067460853301,6.481352214342278
defense against,2,0,2,5.062247219034382,6.475558069133284
local government,2,0,2,6.949967610883118,6.470303337024239
this way,4,0,2,3.9106887824150096,6.451911592726515
every ukrainian,4,0,2,3.5498183368543574,6.4416077196077
new sanctions,2,0,2,4.8421853342575805,6.4167202589306145
heroes from,2,0,2,6.866447055160461,6.411906324270398
is fighting,3,0,2,4.252627045259299,6.409328565618715
what we,2,0,2,5.223841606633525,6.387312357089656
its unwavering,2,0,2,5.070798960160628,6.384868293394285
his sincere,2,0,2,4.852684572985652,6.380736581171415
provide us,3,0,2,4.895535571022304,6.37204074629724
your state,4,0,2,3.390636150786466,6.370067083274059
russian missile,2,0,2,5.859673798961244,6.359751625475413
ordinary people,3,0,2,5.3309641794781575,6.342465631112515
their support,5,0,2,3.0420348742516206,6.341437930282817
about russian,2,0,2,5.1782400343382795,6.3413608837669555
supports us,4,0,2,6.013295927417323,6.310320407142145
for understanding,8,0,2,3.2990459709391,6.294978712429361
this time,4,0,2,5.010003515618886,6.2917773084801345
this war,4,0,2,5.010003515618886,6.2917773084801345
since february,4,0,2,10.674498144751214,6.280173134341355
ursula von,4,0,2,10.674498144751214,6.280173134341355
combat posts,4,0,2,10.16353374774048,6.276224855165583
power engineers,4,0,2,10.16353374774048,6.276224855165583
unwavering support,3,0,2,4.536947326089359,6.262278957486729
have supported,2,0,2,4.810236799634067,6.218130526148263
announced today,2,0,2,6.58825933828516,6.20482312187763
his determination,2,0,2,6.588259338285159,6.204823121877629
not just,2,0,2,6.588259338285159,6.204823121877629
will also,2,0,2,4.590453369436161,6.199425776357073
in this,11,0,2,2.0232952762984686,6.195248554451337
every warrior,4,0,2,5.887153900312992,6.1855840972064415
international organizations,6,0,2,9.306372216451598,6.174636776506278
defense assistance,2,0,2,4.582117384634653,6.16441883260393
artillery brigades,1,0,2,7.455622319883012,6.155986308658433
clearly condemned,1,0,2,7.455622319883012,6.155986308658433
local communities,1,0,2,7.455622319883012,6.155986308658433
occupied communities,1,0,2,7.455622319883012,6.155986308658433
rescue operation,1,0,2,7.455622319883012,6.155986308658433
still trying,1,0,2,7.455622319883012,6.155986308658433
truly effective,1,0,2,7.455622319883012,6.155986308658433
war crimes,1,0,2,7.455622319883012,6.155986308658433
weapons they,1,0,2,7.455622319883012,6.155986308658433
were ready,1,0,2,7.455622319883012,6.155986308658433
help ukrainians,2,0,2,4.54998610645186,6.148058377527097
every day,3,0,2,4.152135560661909,6.147236235433469
people for,10,0,2,2.293734517332448,6.139895097023226
again helped,1,0,2,7.119011310017058,6.121359382424802
common task,1,0,2,7.119011310017058,6.121359382424802
condemned another,1,0,2,7.119011310017058,6.121359382424802
day when,1,0,2,7.119011310017058,6.121359382424802
forces units,1,0,2,7.119011310017058,6.121359382424802
life saves,1,0,2,7.119011310017058,6.121359382424802
must see,1,0,2,7.119011310017058,6.121359382424802
stop trying,1,0,2,7.119011310017058,6.121359382424802
than any,1,0,2,7.119011310017058,6.121359382424802
true friend,1,0,2,7.119011310017058,6.121359382424802
truly defending,1,0,2,7.119011310017058,6.121359382424802
were involved,1,0,2,7.119011310017058,6.121359382424802
already provided,2,0,2,6.473570881008147,6.114602960561236
already received,2,0,2,6.473570881008147,6.114602960561236
european council,2,0,2,6.473570881008147,6.114602960561236
everything we,2,0,2,4.587295930744942,6.106642844539997
been defending,1,0,2,6.782400280890417,6.095117015255898
especially like,1,0,2,6.782400280890417,6.095117015255898
assistance in,4,0,2,3.9161467226120084,6.094924493968014
boris johnson,3,0,2,10.423322470459707,6.066102887680277
temporarily occupied,3,0,2,10.423322470459707,6.066102887680277
helping ukraine,4,0,2,3.757788344916396,6.056671912778221
become historic,1,0,2,7.966586697638403,6.0508148141267295
bipartisan majority,1,0,2,7.966586697638403,6.0508148141267295
danish society,1,0,2,7.966586697638403,6.0508148141267295
destroy evil,1,0,2,7.966586697638403,6.0508148141267295
difficult mission,1,0,2,7.966586697638403,6.0508148141267295
emphasize again,1,0,2,7.966586697638403,6.0508148141267295
no port,1,0,2,7.966586697638403,6.0508148141267295
normal person,1,0,2,7.966586697638403,6.0508148141267295
patronage over,1,0,2,7.966586697638403,6.0508148141267295
public initiatives,1,0,2,7.966586697638403,6.0508148141267295
quickly received,1,0,2,7.966586697638403,6.0508148141267295
quite relevant,1,0,2,7.966586697638403,6.0508148141267295
soledar direction,1,0,2,7.966586697638403,6.0508148141267295
stable operation,1,0,2,7.966586697638403,6.0508148141267295
today's visit,1,0,2,7.966586697638403,6.0508148141267295
why did,1,0,2,7.966586697638403,6.0508148141267295
any normal,1,0,2,7.9665866976384025,6.050814814126729
any wall,1,0,2,7.9665866976384025,6.050814814126729
chancellor scholz,1,0,2,7.9665866976384025,6.050814814126729
clearly condemning,1,0,2,7.9665866976384025,6.050814814126729
cooperation format,1,0,2,7.9665866976384025,6.050814814126729
economic activity,1,0,2,7.9665866976384025,6.050814814126729
near avdiivka,1,0,2,7.9665866976384025,6.050814814126729
port where,1,0,2,7.9665866976384025,6.050814814126729
relevant communication,1,0,2,7.9665866976384025,6.050814814126729
relevant proposals,1,0,2,7.9665866976384025,6.050814814126729
rescue operations,1,0,2,7.9665866976384025,6.050814814126729
separate artillery,1,0,2,7.9665866976384025,6.050814814126729
true heroism,1,0,2,7.9665866976384025,6.050814814126729
true values,1,0,2,7.9665866976384025,6.050814814126729
under patronage,1,0,2,7.9665866976384025,6.050814814126729
very brutal,1,0,2,7.9665866976384025,6.050814814126729
clearly spoke,1,0,2,6.867558089230724,6.048827758696849
particular financial,1,0,2,6.867558089230724,6.048827758696849
british parliament,1,0,2,6.867558089230723,6.048827758696848
decision announced,1,0,2,6.867558089230723,6.048827758696848
friend andrzej,1,0,2,6.867558089230723,6.048827758696848
take under,1,0,2,6.867558089230723,6.048827758696848
whose strength,1,0,2,6.867558089230723,6.048827758696848
would especially,1,0,2,6.867558089230723,6.048827758696848
whom i,2,0,2,6.370638543484276,6.031584068400824
after being,1,0,2,6.53094704083805,6.025664050698139
air forces,1,0,2,6.53094704083805,6.025664050698139
entire american,1,0,2,6.53094704083805,6.025664050698139
great friend,1,0,2,6.53094704083805,6.025664050698139
maintain financial,1,0,2,6.53094704083805,6.025664050698139
make these,1,0,2,6.53094704083805,6.025664050698139
must continue,1,0,2,6.53094704083805,6.025664050698139
must strengthen,1,0,2,6.53094704083805,6.025664050698139
there must,1,0,2,6.53094704083805,6.025664050698139
in donbas,4,0,2,4.040652846820263,6.006005319153176
american administration,1,0,2,7.629975707027789,5.996180998559871
anti-aircraft missile,1,0,2,7.62997570702779,5.996180998559871
being wounded,1,0,2,7.629975707027789,5.996180998559871
common history,1,0,2,7.629975707027789,5.996180998559871
historical truth,1,0,2,7.62997570702779,5.996180998559871
missile strikes,1,0,2,7.629975707027789,5.996180998559871
nations platform,1,0,2,7.629975707027789,5.996180998559871
signed another,1,0,2,7.62997570702779,5.996180998559871
temporarily displaced,1,0,2,7.629975707027789,5.996180998559871
that we,4,0,2,3.2227672452226535,5.995788141013574
anti-aircraft systems,1,0,2,8.477551056143795,5.994325952368248
brutal attacks,1,0,2,8.477551056143795,5.994325952368248
could become,1,0,2,8.477551056143795,5.994325952368248
czech republic,1,0,2,8.477551056143795,5.994325952368248
definitely want,1,0,2,8.477551056143795,5.994325952368248
guarantee global,1,0,2,8.477551056143795,5.994325952368248
keeps jobs,1,0,2,8.477551056143795,5.994325952368248
million euros,1,0,2,8.477551056143795,5.994325952368248
mine took,1,0,2,8.477551056143795,5.994325952368248
public figures,1,0,2,8.477551056143795,5.994325952368248
remaining indifferent,1,0,2,8.477551056143795,5.994325952368248
russia's large-scale,1,0,2,8.477551056143795,5.994325952368248
secretary-general guterres,1,0,2,8.477551056143795,5.994325952368248
so why,1,0,2,8.477551056143795,5.994325952368248
some figures,1,0,2,8.477551056143795,5.994325952368248
stands near,1,0,2,8.477551056143795,5.994325952368248
strengthening historical,1,0,2,8.477551056143795,5.994325952368248
thousand employees,1,0,2,8.477551056143795,5.994325952368248
took part,1,0,2,8.477551056143795,5.994325952368248
took place,1,0,2,8.477551056143795,5.994325952368248
ukraine's membership,1,0,2,8.477551056143795,5.994325952368248
a really,2,0,2,4.840514141054754,5.985037605046945
i held,4,0,2,4.749987203218902,5.977721863339349
brings closer,1,0,2,6.666748581997112,5.9662066998986845
combat brigades,1,0,2,6.666748581997112,5.9662066998986845
discussed how,1,0,2,6.666748581997112,5.9662066998986845
her visit,1,0,2,6.666748581997112,5.9662066998986845
how much,1,0,2,6.666748581997112,5.9662066998986845
how they,1,0,2,6.666748581997112,5.9662066998986845
partner countries,1,0,2,6.666748581997112,5.9662066998986845
really quick,1,0,2,6.666748581997112,5.9662066998986845
strong pressure,1,0,2,6.666748581997112,5.9662066998986845
talks about,1,0,2,6.666748581997112,5.9662066998986845
working under,1,0,2,6.666748581997112,5.9662066998986845
us in,6,0,2,2.652932773911392,5.9637401392171645
who help,9,0,2,2.4782732471797115,5.962307630405662
victory possible,1,0,2,6.279493781514298,5.956878706668907
held a,2,0,2,4.809122205300634,5.950667888547442
thank everyone,3,0,2,3.63749627253475,5.948740488356009
both mr,1,0,2,6.330137514333054,5.943495098682651
even when,1,0,2,6.330137514333054,5.943495098682651
life after,1,0,2,6.330137514333054,5.943495098682651
much more,1,0,2,6.330137514333054,5.943495098682651
only political,1,0,2,6.330137514333054,5.943495098682651
that has,3,0,2,3.9134956048317417,5.9389170544547385
after enemy,1,0,2,7.378522505502142,5.9157153779318365
another ramstein,1,0,2,7.378522505502142,5.9157153779318365
entire danish,1,0,2,7.378522505502142,5.9157153779318365
entire estonian,1,0,2,7.378522505502142,5.9157153779318365
joint actions,1,0,2,7.378522505502143,5.9157153779318365
making efforts,1,0,2,7.378522505502143,5.9157153779318365
take care,1,0,2,7.378522505502142,5.9157153779318365
take part,1,0,2,7.378522505502142,5.9157153779318365
take patronage,1,0,2,7.378522505502142,5.9157153779318365
they could,1,0,2,7.378522505502142,5.9157153779318365
eternal glory,3,0,2,9.324293862052027,5.887699901333144
day was,1,0,2,6.4995556662911005,5.882850263799475
exactly what,1,0,2,6.4995556662911005,5.882850263799475
made sure,1,0,2,6.499555666291101,5.882850263799475
terror together,1,0,2,6.4995556662911005,5.882850263799475
way together,1,0,2,6.4995556662911005,5.882850263799475
spoke about,1,0,2,6.078684235732569,5.874164288795848
victory closer,1,0,2,6.078684235732569,5.874164288795848
are now,3,0,2,3.640319263498558,5.867653528806207
because only,1,0,2,6.16294457935031,5.859207229927131
has been,1,0,2,6.16294457935031,5.859207229927131
was even,1,0,2,6.16294457935031,5.859207229927131
february 24,5,0,2,11.973781128881473,5.8551973376125055
difficult time,1,0,2,7.177713017534564,5.830934543068295
operations after,1,0,2,7.177713017534564,5.830934543068295
recovery after,1,0,2,7.177713017534564,5.830934543068295
task closer,1,0,2,7.177713017534564,5.830934543068295
today's meeting,1,0,2,7.177713017534564,5.830934543068295
army aviation,1,0,2,7.177713017534563,5.830934543068294
held negotiations,1,0,2,7.177713017534563,5.830934543068294
her personal,1,0,2,7.177713017534563,5.830934543068294
kharkiv residents,1,0,2,7.177713017534563,5.830934543068294
only go,1,0,2,7.177713017534563,5.830934543068294
ukrainians on,2,0,2,4.5483139817676825,5.819022518716578
the defense,11,0,2,2.349158835962732,5.818044831293077
of them,7,0,2,4.257387204643496,5.81035179054523
crimes against,1,0,2,6.35631597233085,5.802160374272732
different cities,1,0,2,6.35631597233085,5.802160374272732
human life,1,0,2,6.35631597233085,5.802160374272732
particular by,1,0,2,6.35631597233085,5.802160374272732
quick result,1,0,2,6.35631597233085,5.802160374272732
restore life,1,0,2,6.35631597233085,5.802160374272732
sanctions policy,1,0,2,6.356315972330849,5.802160374272732
these initiatives,1,0,2,6.356315972330849,5.802160374272732
these words,1,0,2,6.356315972330849,5.802160374272732
decisions ensure,1,0,2,5.877874670668752,5.790399987633917
kharkiv after,1,0,2,5.877874670668752,5.790399987633917
but we,2,0,2,4.201076230443718,5.788940918514697
against terror,1,0,2,5.911491281467737,5.788701423300203
protect what,1,0,2,5.911491281467737,5.788701423300203
special summit,1,0,2,5.911491281467737,5.788701423300203
ukrainians must,1,0,2,5.911491281467737,5.788701423300203
whose resilience,1,0,2,5.911491281467737,5.788701423300203
biden for,7,0,2,4.232803478497157,5.777226924487692
fight against,1,0,2,6.019704866107969,5.776830812525713
these companies,1,0,2,6.019704866107969,5.776830812525713
continue their,2,0,2,4.864539289229237,5.768394073101282
grain export,2,0,2,10.086988968577895,5.759946330466876
i'm sure,2,0,2,10.086988968577895,5.759946330466876
ihor zabolotnyi,2,0,2,10.086988968577895,5.759946330466876
people’s deputies,2,0,2,10.086988968577895,5.759946330466876
well done,2,0,2,10.086988968577895,5.759946330466876
can only,1,0,2,7.010520121099938,5.748417172509906
response was,1,0,2,7.010520121099938,5.748417172509906
some other,1,0,2,7.010520121099938,5.748417172509906
against invaders,1,0,2,7.010520121099937,5.748417172509905
has chosen,1,0,2,7.010520121099937,5.748417172509905
has had,1,0,2,7.010520121099937,5.748417172509905
ukrainians destroy,1,0,2,7.010520121099937,5.748417172509905
unwavering bipartisan,1,0,2,7.010520121099937,5.748417172509905
am also,3,0,2,3.548647401254157,5.732238199881441
der leyen,4,0,2,11.773249187408723,5.729525506740522
von der,4,0,2,11.773249187408723,5.729525506740522
assistance provided,1,0,2,6.231013959775177,5.7253215194732485
port workers,1,0,2,6.231013959775177,5.7253215194732485
gave their,2,0,2,5.2011510347792465,5.7246971031420735
your attention,2,0,2,4.464513904416891,5.722680660520796
armed forces,2,0,2,9.576024610072505,5.722627508025216
justin trudeau,2,0,2,9.576024610072501,5.722627508025213
entire team,1,0,2,5.76825154893795,5.7048210859764605
they need,1,0,2,5.76825154893795,5.7048210859764605
whose life,1,0,2,5.76825154893795,5.7048210859764605
has really,1,0,2,5.710681697116473,5.703642325514848
special meeting,1,0,2,5.710681697116473,5.703642325514848
strong leadership,1,0,2,5.710681697116473,5.703642325514848
them after,1,0,2,5.710681697116473,5.703642325514848
working together,1,0,2,5.710681697116473,5.703642325514848
government and,6,0,2,3.5087386556488673,5.695199038964358
it will,2,0,2,4.073587343494328,5.677510993162102
this work,4,0,2,3.0619845509360073,5.674218114396995
heroic cities,1,0,2,6.8672804464164185,5.670201826423207
normal life,1,0,2,6.8672804464164185,5.670201826423207
stands strong,1,0,2,6.8672804464164185,5.670201826423207
other areas,1,0,2,6.867280446416418,5.670201826423206
an extremely,1,0,2,6.119649435775839,5.652622799255427
an honor,1,0,2,6.119649435775839,5.652622799255427
important steps,1,0,2,6.119649435775839,5.652622799255427
important task,1,0,2,6.119649435775839,5.652622799255427
important visit,1,0,2,6.119649435775839,5.652622799255427
restore security,1,0,2,6.119649435775838,5.652622799255426
very important,1,0,2,6.119649435775838,5.652622799255426
this day,3,0,2,3.7909876881666222,5.643365250707751
is already,3,0,2,3.403930485434328,5.641574381153478
air force,2,0,2,9.239413619461889,5.637717185144365
great britain,2,0,2,9.239413619461889,5.637717185144365
ordinary germans,2,0,2,9.239413619461889,5.637717185144365
another initiative,1,0,2,5.642949497802029,5.624210292470433
do even,1,0,2,5.783038290972711,5.622866475820707
now when,1,0,2,5.783038290972711,5.622866475820707
need an,1,0,2,5.567441945293884,5.618358401247725
other politicians,1,0,2,5.567441945293884,5.618358401247725
really joined,1,0,2,5.567441945293884,5.618358401247725
understand how,1,0,2,5.567441945293884,5.618358401247725
military leadership,1,0,2,5.543488704271392,5.615555384018438
more attention,1,0,2,5.543488704271392,5.615555384018438
worked together,1,0,2,5.543488704271392,5.615555384018438
with me,2,0,2,4.722290172641803,5.612903698100178
energy facilities,3,0,2,8.68774973259648,5.603833437427199
communication workers,1,0,2,6.741978453142835,5.596748715121974
israeli prime,1,0,2,6.741978453142835,5.596748715121974
kherson region,1,0,2,6.741978453142835,5.596748715121974
we discussed,2,0,2,5.848154651517137,5.58669386570929
be effective,1,0,2,6.019427069036942,5.58398098174931
criminal court,3,0,2,11.522073493867218,5.56560018696389
iryna vereshchuk,3,0,2,11.522073493867218,5.56560018696389
this important,3,0,2,3.6477463161389845,5.557923486363342
for your,8,0,2,2.366030359403727,5.55498702426879
billion package,1,0,2,5.682815904935651,5.551790861588738
energy solidarity,1,0,2,5.682815904935651,5.551790861588738
principled political,1,0,2,5.682815904935651,5.551790861588738
commission ursula,2,0,2,8.987960417936243,5.55028024429366
humanitarian corridor,2,0,2,8.987960417936243,5.55028024429366
everything clear,1,0,2,5.531584935211726,5.547442820987881
fighting terror,1,0,2,5.531584935211726,5.547442820987881
warrior personally,1,0,2,5.531584935211726,5.547442820987881
on sanctions,2,0,2,4.024779987252407,5.538058736971008
humanitarian initiative,1,0,2,5.4421398748598,5.536308241751021
joined this,3,0,2,3.8265827391108163,5.535749789799401
freedom together,1,0,2,5.40024893315064,5.528954118695068
effectively fighting,1,0,2,6.630613948430944,5.527939516424383
an immediate,1,0,2,6.630613948430943,5.527939516424382
do care,1,0,2,6.630613948430943,5.527939516424382
fighting near,1,0,2,6.630613948430943,5.527939516424382
important agreements,1,0,2,6.630613948430943,5.527939516424382
you have,4,0,2,2.92245854356984,5.524119089453598
also decided,1,0,2,5.928316363351136,5.519163152452762
also discussed,1,0,2,5.928316363351136,5.519163152452762
holds positions,1,0,2,5.928316363351136,5.519163152452762
relevant assistance,1,0,2,5.928316363351136,5.519163152452762
still be,1,0,2,5.928316363351136,5.519163152452762
british people,2,0,2,4.637471130776413,5.519015821540792
our team,5,0,2,3.779670419598669,5.503363924608833
spoke with,2,0,2,4.617330740721744,5.49660419930525
with other,2,0,2,4.270025738792886,5.494587293527504
with weapons,2,0,2,4.270025738792886,5.494587293527504
minister boris,3,0,2,8.476162841858246,5.493021105393402
american people,2,0,2,4.974083071225738,5.491811676126605
40 leaders,1,0,2,5.5917051799463175,5.484498753929055
because russia,1,0,2,5.5917051799463175,5.484498753929055
must be,1,0,2,5.5917051799463175,5.484498753929055
strengthen sanctions,1,0,2,5.5917051799463175,5.484498753929055
european union,4,0,2,8.274519248473629,5.476371752725722
another package,1,0,2,5.431362529871138,5.474602145658302
be ours,1,0,2,5.431362529871138,5.474602145658302
occupiers would,1,0,2,5.431362529871138,5.474602145658302
being with,2,0,2,4.953942700690956,5.47090903358068
stood up,2,0,2,8.787150929968664,5.46856759612375
largest package,1,0,2,6.530391600984848,5.463452013696113
be implemented,1,0,2,6.5303916009848475,5.463452013696112
by step,1,0,2,6.5303916009848475,5.463452013696112
principled stance,1,0,2,6.5303916009848475,5.463452013696112
russia wants,1,0,2,6.5303916009848475,5.463452013696112
her personally,1,0,2,5.33077529296597,5.4581054208685735
important meeting,1,0,2,5.33077529296597,5.4581054208685735
really fighting,1,0,2,5.33077529296597,5.4581054208685735
well as,1,0,2,5.844795807628479,5.457885701577928
meeting with,2,0,2,4.365876569567497,5.44814290916082
international criminal,3,0,2,8.38505213617244,5.4434508841582545
other cities,1,0,2,5.25700914272636,5.441116405023768
package against,1,0,2,5.25700914272636,5.441116405023768
sanctions against,1,0,2,5.25700914272636,5.441116405023768
organizations that,3,0,2,5.343396951320933,5.439153484624305
much as,1,0,2,5.50818460491477,5.420748593656616
russian aggression,4,0,2,8.159830752519737,5.408233033245752
bring victory,1,0,2,6.439280914597206,5.402908854344268
dear leaders,1,0,2,6.439280914597206,5.402908854344268
demining energy,1,0,2,6.439280914597206,5.402908854344268
hold positions,1,0,2,6.439280914597206,5.402908854344268
increase sanctions,1,0,2,6.439280914597206,5.402908854344268
joint victory,1,0,2,6.439280914597206,5.402908854344268
remaining principled,1,0,2,6.439280914597206,5.402908854344268
stable energy,1,0,2,6.439280914597206,5.402908854344268
also increase,1,0,2,6.439280914597205,5.402908854344267
which could,1,0,2,6.439280914597205,5.402908854344267
which demonstrates,1,0,2,6.439280914597205,5.402908854344267
as much,1,0,2,5.767695800399855,5.3998589693265995
fully understanding,1,0,2,5.767695800399855,5.3998589693265995
human freedom,1,0,2,5.767695800399855,5.3998589693265995
our friends,6,0,2,2.599374904276798,5.395630873081426
extremely strong,2,0,2,8.619958033534036,5.393814201827233
i spoke,3,0,2,4.489663704995631,5.386125385896965
i would,3,0,2,4.489663704995631,5.386125385896965
what do,1,0,2,5.230552868316491,5.3838551117651425
who do,6,0,2,3.127838590463273,5.375028901042843
