word,n
away,166
closer,166
conversation,165
goal,165
answer,164
export,164
truth,164
winter,164
died,163
extremely,163
managed,163
respect,163
staff,163
large,162
saw,162
society,162
territorial,162
officials,161
remain,160
visit,160
received,159
regarding,159
black,158
let,158
act,157
care,157
chernihiv,157
head,157
allow,156
gratitude,156
truly,156
units,156
anyone,155
water,155
beginning,154
hope,154
night,154
receive,154
seen,154
several,154
ask,153
flag,153
times,153
defeat,152
lost,152
continent,151
civilians,150
facilities,150
federation,150
news,150
oil,150
wounded,150
destroying,149
guys,149
morning,149
show,149
due,148
ready,148
sumy,148
value,148
battles,147
sector,147
stability,147
democratic,146
diplomatic,146
points,146
talk,146
third,146
aid,145
consequences,145
guard,145
liberated,145
nothing,145
servicemen,145
true,145
battle,144
became,144
constant,144
helping,144
responsibility,144
billion,142
interests,142
issues,142
america,141
happen,141
parliament,141
active,140
development,140
format,140
going,140
word,140
death,139
resources,139
tribunal,139
implementation,138
issue,138
mykolaiv,138
position,138
assault,137
best,137
office,137
ones,137
yesterday,137
fair,136
mrs,136
single,136
talked,136
around,135
bombs,135
came,135
complete,135
largest,135
public,134
conference,133
price,133
territories,133
allegedly,132
create,132
humanity,132
constantly,131
france,131
join,131
luhansk,131
moment,131
moscow,131
families,130
ports,130
rights,130
stronger,130
threats,130
workers,130
directions,129
houses,129
knows,129
men,129
side,129
strengthening,129
towards,129
anything,128
happening,128
local,128
provided,128
thankful,128
although,127
chief,127
created,127
recovery,127
reports,127
tens,127
awarding,126
basis,126
currently,126
experience,126
posthumously,126
present,126
family,125
given,125
imagine,125
try,125
agricultural,124
economy,124
expect,124
occupier,124
politicians,124
tell,124
tyranny,124
coalition,123
longer,123
pay,123
less,122
month,122
call,121
fighters,121
germany,121
maximum,121
membership,121
officers,121
victims,121
american,120
ammunition,120
brutal,120
defends,120
meetings,120
project,120
capital,119
communication,119
decided,119
immediately,119
money,119
relevant,119
control,118
hostilities,118
terrible,118
ability,117
area,117
involved,117
six,117
speed,117
2014,116
agreed,116
alone,116
bucha,116
decades,116
fire,116
four,116
weeks,116
whether,116
began,115
break,115
exports,115
forced,115
hero,115
liberate,115
members,115
presented,115
quite,115
shot,115
historical,114
integrity,114
reality,114
team,114
felt,113
mean,113
personally,113
prevent,113
responsible,113
world's,113
decree,112
group,112
plan,112
platform,112
residential,112
saved,112
commanders,111
iranian,111
liberation,111
remains,111
borders,110
commission,110
services,110
stand,110
supporting,110
understanding,110
afraid,109
based,109
canada,109
chance,109
forget,109
leader,109
report,109
achieve,108
coming,108
fully,108
happened,107
overcome,107
radiation,107
celebrate,106
evening,106
movement,106
residents,106
resilience,106
blackmail,105
fundamental,105
levels,105
met,105
protecting,105
brigades,104
emphasize,104
stopped,104
temporarily,104
actually,103
biden,103
buildings,103
captivity,103
change,103
current,103
fights,103
kind,103
offensive,103
building,102
concrete,102
disaster,102
however,102
mass,102
organizations,102
past,102
capabilities,101
guards,101
half,101
implement,101
keep,101
waiting,101
events,100
historic,100
hold,100
products,100
