token,n
the Ukrainian Military Medical Academy,2
the Ukrainian Orthodox Church,2
the Ukrainian Parliament,2
the World Heritage List,2
the supreme international crime differing,2
-15,1
107th MLRS brigade,1
110th Separate Mechanized Brigade,1
115th,1
116th,1
126th,1
12th Brigade,1
131st,1
132nd,1
138th Dnipro,1
140th,1
1st Separate Marine Battalion,1
204th Sevastopol,1
25th Separate Airborne Brigade,1
30 - Navy,1
302nd,1
35th Brigade,1
35th Marine Infantry Brigade,1
3rd,1
46th,1
501st,1
501st Separate Marine Battalion,1
503rd,1
54th Separate Mechanized Brigade,1
55th Artillery Brigade,1
59th Separate,1
59th Separate Motorized Brigade,1
5th Separate Assault Brigade,1
77th,1
783rd,1
79th Air Assault Brigade,1
93rd Mechanized Brigade,1
95th Separate Assault Brigade,1
Accurate,1
Aerorozvidka,1
African Affairs,1
Agrarian Policy and Food,1
Agricultural Workers,1
Air Command,1
Air Commands :,1
Air Defense Forces,1
Air Forces - pilots,1
Air Forces Commands,1
Air Forces and Ground Forces,1
Air Navigation Service,1
Air and Naval Forces,1
Alexander Dubček,1
Alley of Courage in Kyiv,1
Allies,1
Altair,1
American Patriots,1
Andriy Ilkiv and Taras Sal,1
Angels,1
Another Ukraine - European Union,1
Anticorruption Court,1
Antonov,1
Apostol,1
Apostolska,1
Archers,1
Arina,1
Arla Foods,1
Armtraс,1
Artillery Brigade,1
Askania - Nova,1
Association,1
Association Agreement,1
Azerbaijan Ilham Aliyev,1
Azovstal and Mariupol,1
Azovstal and Mykolaiv,1
BAE Systems,1
BASF,1
BFM TV,1
"Bakhmut , Avdiivka , Kupyansk",1
Bakhmut ...,1
Bakhmut to,1
Bank,1
Basayev,1
Bashtanka,1
Benelux Countries,1
Bergen - Belsen,1
Berlin Film Festival,1
"Bilyaivka , Ukrainka",1
BlueCheck,1
Bohdan Khmelnytskyi,1
Borders,1
Bradley,1
Brave,1
Brigadier General,1
Brigadier General of Justice,1
Brigadier General on Colonel Artem,1
Brigadier General on Colonel Volodymyr Vasyliovych Shvorak,1
Bucharest,1
Bureviy,1
CAESAR,1
CNBC Europe,1
CORE,1
CS,1
Cannes Lions,1
Canova,1
Captain Mykola Nosach,1
Capturing Severodonetsk,1
Castle,1
Caucasus,1
Center,1
Channel One,1
Chaplynka,1
Chasiv Yar Military Mobile Hospital,1
Cherkaske Military Hospital,1
Chernihiv City Hospital,1
Chernihiv Medical Center of Modern Oncology,1
Chernihiv Regional State Administration,1
"Chernivtsi , Lutsk",1
Chișinău,1
Chornobyls,1
Chuhuiv of the Kharkiv,1
Chuhuyiv,1
Chumaks,1
Church,1
Churchill,1
Circassians,1
Citizens of India,1
Citizens of Ukraine,1
Committee,1
Communication Workers,1
Confederation,1
Confrontation,1
Congress and Administration,1
Conscientiousness,1
Constitutional Council,1
Copernicus,1
Core Group,1
Cossack,1
Council,1
Council in Europe,1
Council of Europe,1
Crisis Management,1
Croatia Andrej Plenković,1
"Crotale , Hawk",1
Customs,1
DAP,1
DPRK,1
DSV,1
Danes,1
Danylo,1
Dear Olena,1
Dear President Cassis,1
Dear President Widodo,1
Dear Sirs,1
Dear Ukrainians !,1
Debaltseve,1
Defence Forces,1
Defense Contact Group,1
Defense Council,1
"Defense Intelligence , Ministry of Defense , Ministry of Strategic Industries",1
Defense Lloyd Austin,1
Defense Plan,1
Defense of the United States,1
Demydivka,1
Denmark for Caesars,1
Denys Nokhrin,1
Digital,1
Digital Transformation Summit,1
Dmytro Ivanovych,1
Dmytro Kuleba,1
"Dnipro , Mykolaiv , Odesa",1
Doctrine,1
Donbas - Bakhmut and Soledar,1
Donbas - Pisky,1
Donbas - Severodonetsk,1
"Donbas – Bakhmut , Soledar",1
Donetsk,1
"Donetsk , Yalta",1
Donetsk - Welsh,1
Donetsk Regional State Administration Pavlo Oleksandrovych Kyrylenko,1
Dora - Mittelbau,1
Dovbush,1
Drohobych,1
Durrës,1
Dymer,1
"Dzhankoy , Kerch",1
"Dzhankoy , Yevpatoriya",1
Dzhaparova,1
ECHR,1
EU Committee,1
EU Summit,1
EUR 0.5 billion,1
Edyni Novyny,1
Emmanuel,1
Enforced Disappearance,1
Erdoğan,1
Euro - Atlantic Integration of Ukraine,1
Eurocities,1
European Commissioners,1
European Convention for the Protection of Human Rights and Fundamental Freedoms,1
Executive,1
FAO,1
FIFA,1
Fields Medal,1
Financial Times,1
Florence,1
Forgiveness,1
Fox Business Channel,1
Fox Corporation,1
Fox News,1
France - Emanuel,1
France Macron,1
"Franko , Ukrainka , Shevchenko",1
Franko University,1
Frédéric,1
GLOBSEC,1
GPS,1
General Assembly,1
General Malyuk,1
General Moskalov,1
General Moskalyov 's,1
General Mykola Mykolayovych Zhyrnov,1
Genoa,1
German Marders,1
German Social Democratic Party,1
Glastonbury,1
Glorious 93rd Separate Mechanized Brigade,1
Gold Star,1
Golda Meir,1
Golda Meir ’s,1
Gomel - Horodnya,1
Goodwill,1
Google,1
Group of,1
Group on International Security Guarantees,1
Groups,1
Gulag,1
Haaretz,1
Happiness,1
Harvard University,1
Hasidic,1
Help Army,1
Helsinki,1
Henkel,1
Heroes,1
Hetman Taras Triasylo,1
Hill,1
Hlukhiv,1
Holocaust,1
Horde,1
Horizon Capital Growth - that 's,1
House of Representatives Nancy Pelosi,1
"Hulyaipole , Severodonetsk",1
Ilovaisk,1
"Imagine Dragons , Demna",1
Indigenous Peoples,1
Information,1
Ingrida Šimonytė,1
Inhulets Infantry Brigade,1
Instagram,1
Institute,1
"Intelligence , Special Operations Forces",1
Internal Affairs Denys Monastyrskyi,1
Internal Affairs Ihor Klymenko,1
International Convention for the Protection of All Persons,1
International Criminal Court,1
International Monetary Fund,1
International Olympic Committee,1
International Tribunal,1
International Women 's Day,1
Invictus Games,1
Ioselian Lev,1
Iron Curtain,1
Irpen,1
Islam,1
Ivanivka,1
Ivchuk Viktor Mykhailovych,1
"Izyum , Balakliya",1
"Izyum , Kharkiv ,",1
"Izyum , Starobilsk",1
"Izyum , Sumy",1
Izyum and Chuhuiv,1
Izyum and Donetsk,1
J.P. Morgan,1
Johns Hopkins University,1
Johnson & Johnson,1
KSE Foundation,1
Kakhovka HPP,1
Kalynivske,1
Kamianka,1
Kamyanske,1
Karazin University,1
Katheryn,1
Kerch,1
"Kharkiv , Kharkiv",1
"Kharkiv , Kherson",1
"Kharkiv , Kyiv ,",1
"Kharkiv , Odesa",1
"Kharkiv , Odesa , Lviv",1
"Kharkiv , Okhtyrka , Kyiv , Odesa",1
"Kharkiv , Sumy",1
"Kharkiv , Sumy ,",1
"Kharkiv , Sumy region",1
Kharkiv - Freedom Square,1
Kharkiv Assumption Cathedral,1
Kharkiv Ihor Oleksandrovych Terekhov,1
Kharkiv National Pedagogical University,1
"Kharkiv National University of the Air Force , Military Institute of Tank Troops of Kharkiv Polytechnic Institute , Military Institute of Taras Shevchenko National University of Kyiv , Kruty Heroes Military Institute of Telecommunications and Informatization",1
Kharkiv Regional State Administration,1
Kharkiv Tractor Plant,1
Kharkiv and Kharkiv,1
Kharkiv and Mariupol,1
"Kherson , Mykolaiv",1
Kherson Ihor,1
Kherson People 's Republics,1
Kherson Regional Children 's,1
Kherson to Horlivka,1
Kholodny Yar 93rd,1
Khortytsia Operational,1
Killings,1
Kobzar,1
Konotop,1
"Konotop , Bashtanka",1
Korbutivka,1
Kosiv,1
Kozacha Lopan,1
Kraken,1
"Krasnohorivka , Toretsk",1
"Krasnopillya , Polohy ,",1
Kropyvnytskyi,1
Kryvyi Rih Tank Brigade,1
Kurban Bayram,1
"Kyiv , Mariupol",1
Kyiv - Mohyla Academy,1
Kyiv Security Compact,1
Kyiv to Kherson,1
"Kyrylivka , Henichesk , Berdyansk , Manhush",1
LG,1
LNG,1
Labor Palace,1
Ladies and Gentleen,1
Large Construction,1
"Lavra , Andriivskyi , Podil",1
Learn Ukrainian,1
Lend Lease,1
Leontovych,1
Leopards,1
"Leopards , Marders",1
"Life , Liberty",1
Limay,1
Lithuania Ingrida Šimonytė,1
Luftwaffe,1
Luhansk - Scotsman,1
Luhansk Regional State Administration,1
Lutsk and Ivano - Frankivsk,1
Lutsk to Kharkiv,1
Luxembourg Xavier Bettel,1
"Lviv , Donetsk",1
Lviv NGO,1
Lysychansk,1
"Lysychansk , Severodonetsk",1
Lysychansk and Severodonetsk,1
"Lyubymivka , Khreshchenivka",1
"MANPADS Perun , Mistral",1
MID,1
Macron,1
Major - General Andriy Kovalchuk,1
Major Pavlo Sbytov,1
Maks Levin,1
Malynivka,1
"Malyuk , Usov , Lubinets",1
Manchester,1
Marchuk,1
Marines,1
"Mariupol , Izyum , Volnovakha",1
"Mariupol , Kharkiv , Sumy ,",1
"Mariupol , Marinka",1
"Mariupol , Severodonetsk ,",1
Mariupol - Zaporizhzhia,1
Mariupol - the headquarters,1
Mariupol - this,1
Mariupol Military Hospital,1
Marszałek Piłsudski Square,1
Mechnikov Hospital,1
Medical Workers ’ Day,1
"Melitopol , Dniprorudne , Enerhodar",1
"Melitopol , Tokmak",1
Mercenaries,1
Merit,1
Military Medical Rehabilitation Center,1
"Ministers of Energy , Economy",1
Ministry of Internal Affairs,1
Modern Western,1
Morricone,1
Mother Olena Ponomarenko,1
Motherland,1
Mozambique,1
My Nation,1
Mykola Leontovych,1
Mykolaiv Oleksandr Fedorovych Senkevych,1
Mykolaiv and,1
Mykulychi,1
Myr,1
NATO Parliamentary Assembly,1
NBA Champions,1
NFT,1
NGO “ Miskyi Tsentr Dopomohy,1
NSDAP,1
Nachman of Breslov,1
Naddniprianshchyna,1
Nariman Celâl,1
National Council,1
National Guards,1
National Guardsmen,1
National Police Day,1
National Police employees,1
National Security,1
Nazism !,1
Nemyriv,1
Neptune,1
Nestle,1
New York Times,1
News Corp,1
Next - Denmark,1
Nicolae Ceaușescu,1
Nike,1
"Nikopol , Toretsk",1
Nizhyn,1
Nord Stream 2,1
Nova Kakhovka Volodymyr Ivanovych Kovalenko,1
Novi Petrivtsi,1
Novovoskresenske,1
Ochakiv,1
Odesa Maritime Academy,1
Offensive Guard,1
Office - Ukrainian,1
Okhmatdyt Children 's Hospital,1
"Okhtyrka , Kharkiv , Mariupol",1
"Okhtyrka , Mykolaiv",1
Oksana Umanets,1
Oleksandr Vasyliovych,1
Oleshky Sands,1
Olympism,1
Order,1
Ornek,1
Orthodox Church,1
Oschadbank,1
Ostrava,1
Ostromyr Gospels,1
Our Armed Forces,1
Our Armed Forces of Ukraine,1
Our Ground Forces,1
Our Ministry of Foreign Affairs,1
Our National Guard,1
Oxford,1
Paralympics,1
Parkhomuk Vitaliy Vasyliovych,1
Parliamentary Assembly,1
Petersburg,1
Petrykivka,1
Pidhorodne,1
Pivden,1
Pivdenmash,1
Plast,1
Platoon,1
Pokrovsk Military Mobile Hospital,1
"Political , Free Trade",1
Politico,1
Poltava ...,1
Popasna,1
"Popasna , Severodonetsk",1
"Popasna , Severodonetsk , Izyum , Rubizhne , Dniprorudne ,",1
"Popasna , Zolote , Lysychansk , Severodonetsk",1
Porcelanosa,1
Portsmouth,1
Post - War Conference,1
Presidential Brigade of the National Guard,1
Press Gallery Dinner,1
Progressive Socialist Party of Ukraine,1
Przemyśl,1
RDNA,1
RIA Novosti,1
Rada,1
Radio Liberty Vera Hyrych,1
"Raiffeisen , Societe Generale",1
Reconnaissance Battalion,1
Regional Children 's Hospital,1
Register,1
Register of Damage,1
Renault,1
Rescuer,1
Reuters,1
Rheinmetall AG,1
Righteous,1
Righteous Among the Nations,1
Riksdag,1
Rivne Regional Military Administration,1
Rosomak,1
Rushmore National Memorial,1
Russian Federation,1
Ryazan,1
"Rzeszów , Białystok",1
S-300s,1
SOS,1
SS,1
SSU Alpha,1
Samsung,1
Sashko,1
Sberbank,1
Scholz,1
Science of Ukraine,1
Securitate,1
Separate Airborne Brigade,1
Separate Brigade of Marines,1
Separate Hunter Brigade,1
Separate Hunting Brigade,1
Separate Marine Battalion,1
Separate Marine Infantry Brigades,1
Separate Mobile Airborne Brigade,1
Separate Mountain Assault,1
Separate Special Forces Regiment,1
Sergeant Dariya Mazurenko,1
Serhiivka,1
Serhiy Prytula Foundation,1
Service,1
Shariy Party,1
Shepetivka,1
Showcase,1
"Simferopol ,",1
Skovoroda University,1
Skype,1
Slavic Regiment,1
Slobozhanska,1
Sloviansk,1
"Slovyansk , Toretsk",1
Slovyansk and Severodonetsk,1
Snake Iceland,1
Social Policy of Ukraine - Oksana Zholnovych,1
Social and Legal Protection of Persons Deprived of Personal Freedom,1
Socialist Party of Ukraine,1
Socialists ” Party,1
"Soledar , Bakhmut",1
Sophia of Kyiv,1
Spirit,1
Spray Paint Ukraine,1
St. Panteleimon Church,1
Stalin,1
State Bureau of Investigation,1
State Security Administration,1
State Service for Special Communications and Information Protection of Ukraine,1
State Special Communications,1
State Special Communications Service,1
State for Defence of the United Kingdom Ben Wallace,1
State for Foreign Affairs,1
Strategic Industries Kamyshin,1
Strength,1
Success,1
Sudzha - Sumy,1
"Sumy , Mykolaiv",1
Sumy Oleksandr Mykolayovych Lysenko,1
Sumy Regional State Administration,1
Sunny,1
Sviatoslav the Brave,1
Svityaz,1
Sweden Magdalena Andersson,1
Switzerland Cassis,1
Tamila Tasheva,1
Tanker 's Day,1
Tavriis'ke,1
Territorial Defense Forces Day,1
Thames,1
The 128th Separate Brigade,1
The African Union,1
The Air Forces,1
The Black Sea Grain Initiative,1
The Cabinet of Ministers,1
The Cannes Lions,1
The Chairpersons,1
The Charlemagne Prize,1
The Chatham House Prize,1
The Church of the Nativity of the Blessed Virgin,1
The Congress of Local and Regional Authorities of Ukraine,1
The Cross of Military Merit,1
The Embassy of Ukraine,1
The Estonian Parliament,1
The European Court of Human Rights,1
The Great St. Sophia Cathedral,1
The House of Representatives,1
The Institute of Philology,1
The International Committee of the Red Cross,1
The International Olympic Committee,1
The International Olympic Committee 's,1
The International Summit of Cities and Regions,1
The International Tribunal for the Crime of Aggression,1
The International Working Group on Sanctions Against,1
The Joint Expeditionary Force,1
The Kyiv Security Compact,1
The Lithuanian National Film Award Sidabrinė,1
The Military Institute of the Taras Shevchenko National University of Kyiv,1
The Ministerial Conference of the World Trade Organization,1
The Ministry,1
The Ministry of Defense,1
The Ministry of Foreign Affairs,1
The Ministry of Justice,1
The NATO Summit,1
The National Academy of the National Guard,1
The National Security and Defense Council of Ukraine,1
The New York Times,1
The Office of the President,1
The Palace of Children and Youth,1
The Prosecutor 's Office of Ukraine,1
The Prosecutor General 's Office,1
The Russian Black Sea Fleet,1
The Security Council,1
The Security Service,1
The Shevchenko Committee,1
The Special Operations Forces,1
The Special Representative of,1
The State Service for Ethnopolitics and Freedom of Conscience,1
The Supreme Court of France,1
The Swedish Parliament,1
The Tribunal for the crime of aggression,1
The Turkish Embassy,1
The World Bank,1
Thermopylae,1
Time Magazine,1
Times,1
Torske,1
Trans - Balkan,1
Triangle,1
"Trostyanets , Sumy",1
Tyranny,1
Türkiye - a,1
U-24,1
UAnimals,1
UN Convention for the Suppression of the Financing of Terrorism,1
UN Convention on the Elimination of All Forms of Racial Discrimination,1
UN Convention on the Law of the Sea,1
UN Convention on the Prevention and Punishment of the Crime of Genocide,1
UN Security Council,1
UNESCO World Heritage Site,1
UNHCR Goodwill,1
UNITED24,1
Ukraine - EU Summit,1
Ukraine - Kyiv,1
Ukraine Sean,1
Ukraine-2022,1
Ukrainian Armed Forces,1
Ukrainian College of Europe,1
Ukrainian Donetsk,1
Ukrainian Military Medical Academy,1
Ukrainian Statehood,1
Ukrhydroenergo,1
Ukrposhta,1
Unilever,1
Union of Ukrainian Women,1
United Nations Day,1
United for Justice,1
United24,1
"Ursula , Mateusz , Roberta",1
Usov,1
V-2,1
VFX,1
Vestas,1
Vilnius NATO,1
Viva Italia,1
Volnovakha,1
"Volnovakha , Kharkiv , Izyum , Okhtyrka ,",1
Volodymyr Kyseliov,1
Vytachiv,1
WTO,1
Wagner,1
Wall Street Journal,1
Wenders,1
Westinghouse,1
World Central,1
World ’s Fair 2030,1
Yevpatoriya,1
Yunkom,1
Zakhyst - Obyednannia Volonteriv,1
Zaporizhstal,1
Zaporizhzhia Nuclear Power Plant,1
Zarvanytsia Marian Spiritual Centre,1
Zelenodolsk and Hulyaipole,1
Zhytomyr,1
Zhytomyr Polytechnic,1
Zuzana,1
a European Community of Peace,1
a Marine Corps,1
a Memorial of Reconciliation,1
a National Military Cemetery,1
a National Museum of the Russian,1
a Security Council,1
an Expert Group,1
an International Tribunal,1
another Book Arsenal,1
eSupport,1
eVidnovlennia,1
eastern flank,1
fInance,1
falcon,1
healthcare,1
house,1
mudam !,1
our International Legion,1
speaketh,1
sur la,1
"the "" Center "" air command",1
"the "" Golden Star",1
"the "" Medical Aid "" area",1
"the "" Offensive Guard",1
"the "" Ukraine - Africa",1
the 115th Territorial Defense Brigade,1
the 127th Territorial Defense Brigade,1
the 128th Separate Territorial Defense Brigade,1
the 131st Separate Reconnaissance Battalion,1
the 160th Odesa,1
the 1st,1
the 214th Rifle Battalion,1
the 25th Airborne Brigade,1
the 77th,1
the Active Rehabilitation Group,1
the Advisory Council,1
the African Union,1
the African Union Commission,1
"the Air Command """,1
the Air Command South,1
"the Air Commands """,1
the Air Defense Forces,1
"the Air Forces , Ground Forces and Intelligence",1
the All - Ukrainian Council of Churches and Religious Organizations,1
the All - Ukrainian Olympics,1
the Alliance Summit,1
the Ambrosetti Forum,1
the American Administration,1
the American Atlantic Council,1
the American Enterprise Institute,1
the American Institute for the Study of War,1
the American Jewish Committee,1
the Armed Forces - combat,1
"the Armed Forces of Ukraine , Ground Forces",1
the Armed Forces of Ukraine Valerii,1
the Armed Forces of the Russian Federation,1
the Association Agreement,1
the Association of European Cities,1
the Assumption Cathedral in Kharkiv,1
the Athens Democracy Forum,1
the Atlantic Council,1
the Austrian Government,1
the Austrian Parliament,1
the Automobile Platoon Valentyn Viktorovych Baryliuk,1
the Aviation Security Service - Senior Inspector - Pilot,1
the Baltic - Black Sea,1
the Beckhams,1
