collocation,count,count_nested,length,lambda,z
those whose,3,0,2,5.852592640632103,7.966188481613859
beautiful ambassador,2,0,2,8.051942692572034,7.9636649977830665
main intelligence,2,0,2,8.051942692572034,7.9636649977830665
quickly so,2,0,2,8.051942692572034,7.9636649977830665
who fight,9,0,2,3.9103143457372367,7.956569009015491
слава україні,25,0,2,13.081105871396046,7.952145517596268
dear friends,4,0,2,4.971272348606213,7.950685095000665
truly an,2,0,2,6.827742527286931,7.937410804909109
doing everything,3,0,2,8.15167221893873,7.92615197533791
express special,3,0,2,8.15167221893873,7.92615197533791
two decisions,2,0,2,6.627001025338876,7.923407417488698
even stronger,2,0,2,7.851201220692555,7.923278463963185
zaporizhzhia sich,2,0,2,7.851201220692555,7.923278463963185
parliament two,2,0,2,7.8512012206925545,7.923278463963184
against russian,3,0,2,5.216320135658739,7.907343604056154
missile attacks,2,0,2,7.079127757040537,7.897782123658926
when i,4,0,2,4.46066006575982,7.892966795459186
never forget,2,0,2,8.639870895282677,7.886854431997276
our victory,9,0,2,3.6419928168928166,7.884414295516534
guard detachment,2,0,2,7.684076354602407,7.867493478254652
guard detachments,2,0,2,7.684076354602407,7.867493478254652
were taken,3,0,2,8.051517958909049,7.866135032728249
an extremely,2,0,2,6.515704578728834,7.860224117724288
sanctions against,2,0,2,6.515704578728834,7.860224117724288
people of,14,0,2,2.4744111410158927,7.850629662029513
your kind,10,0,2,3.936763010363446,7.850404680303958
against aggression,2,0,2,6.348579677551229,7.819419633983688
gave me,2,0,2,6.348579677551229,7.819419633983688
near bakhmut,2,0,2,7.540904724524386,7.80528196366701
yet been,2,0,2,7.540904724524386,7.80528196366701
extremely important,3,0,2,6.61371846667851,7.775353199514379
just been,2,0,2,6.20540801238078,7.7648486779166515
our border,9,0,2,3.3673379162403436,7.7639193879014305
russia get,2,0,2,6.248425397464472,7.755259979602075
international institutions,2,0,2,6.525249220913836,7.748141886092052
protects zaporizhzhia,2,0,2,6.525249220913836,7.748141886092052
children out,2,0,2,7.415670790121958,7.740978325044174
sincerely wish,2,0,2,7.415670790121958,7.740978325044174
terror closer,2,0,2,7.415670790121958,7.740978325044174
two years,2,0,2,7.415670790121957,7.740978325044173
every american,8,0,2,6.9091861206678615,7.739406733460023
were destroyed,2,0,2,6.324507703921911,7.733281374741066
opportunity to,22,0,2,5.143454935970325,7.7022475357082545
restore peace,3,0,2,7.799991096127981,7.698554041953774
each other,3,0,2,5.956298615902783,7.696627621911883
will definitely,4,0,2,6.160509100946122,7.694718279859007
55th separate,4,0,2,6.141919020361694,7.6735516849528675
assault regiment,2,0,2,6.24105526843704,7.671237757389658
russian terrorists,3,0,2,6.506260245788841,7.6693871115866745
be no,3,0,2,5.375435589764717,7.665908513567785
are defending,4,0,2,4.4058299947113015,7.656387847261774
also held,3,0,2,5.2083105227051565,7.648306761055465
defense capabilities,3,0,2,5.902810735874821,7.636590726492028
defense intelligence,3,0,2,5.902810735874821,7.636590726492028
guys for,15,0,2,5.214500172031668,7.632476197735496
good results,2,0,2,7.204220098521845,7.613783475265214
necessary results,2,0,2,7.204220098521845,7.613783475265214
joint decision,2,0,2,6.1640233957383375,7.610699540170893
understanding that,5,0,2,4.455384325436899,7.607337827849303
this meeting,5,0,2,4.629880666729378,7.600865281911066
dear leaders,4,0,2,4.239886867512759,7.600581982057906
by russian,3,0,2,4.753341827642902,7.595821185982489
every step,4,0,2,5.125281901551667,7.585798844034897
warm ones,2,0,2,8.814224282427457,7.579197296652401
justice really,2,0,2,6.293235127218343,7.569264695999661
new steps,2,0,2,6.293235127218343,7.569264695999661
already provided,2,0,2,5.996898474495132,7.567457026624159
to address,19,0,2,4.396752013565915,7.560684288775456
attack drones,2,0,2,9.150767280441283,7.5558151373442355
chernihiv detachments,2,0,2,9.150767280441283,7.5558151373442355
marine infantry,2,0,2,9.150767280441283,7.5558151373442355
never lets,2,0,2,9.150767280441283,7.5558151373442355
professor von,2,0,2,9.150767280441283,7.5558151373442355
said once,2,0,2,9.150767280441283,7.5558151373442355
senior sergeant,2,0,2,9.150767280441283,7.5558151373442355
sincere desire,2,0,2,9.150767280441283,7.5558151373442355
wonderful ambassador,2,0,2,9.150767280441283,7.5558151373442355
international order,2,0,2,7.1131775138302125,7.552576731624251
it's really,2,0,2,6.092493595176152,7.55184578318194
in this,15,0,2,2.104404285484458,7.550417765557531
decree awarding,2,0,2,8.562839087746408,7.542201316527104
moral force,2,0,2,8.562839087746408,7.542201316527104
honorable title,2,0,2,8.562839087746406,7.542201316527102
last spring,2,0,2,8.562839087746406,7.542201316527102
provides treatment,2,0,2,8.562839087746406,7.542201316527102
always remember,2,0,2,6.544620387061824,7.533255861913695
next year,2,0,2,6.544620387061824,7.533255861913695
ukrainian children,3,0,2,5.803681042172309,7.523752239310143
air force,2,0,2,6.226472916139632,7.513184509039687
already been,2,0,2,5.853726789256242,7.510469410823538
operational brigade,3,0,2,5.094196649769335,7.501719183128637
your resilience,9,0,2,3.8343647359580117,7.498288526105402
look forward,2,0,2,8.362097620875875,7.483612400484726
difficult time,2,0,2,6.4778581810005775,7.478484556845591
ukrainian land,3,0,2,4.8047262723252135,7.462177887517977
supporting our,8,0,2,3.286971187054329,7.445905131957511
against russia,2,0,2,5.694228205711037,7.442742433533674
continued leadership,2,0,2,5.963140175480828,7.439437702244922
really ready,2,0,2,6.952693235740776,7.436376258721078
heroes after,2,0,2,6.952693235740775,7.4363762587210775
also want,3,0,2,4.72845346246195,7.428949386332849
get used,2,0,2,8.19497275979538,7.4176057945132134
no chance,2,0,2,8.19497275979538,7.4176057945132134
ones get,2,0,2,8.19497275979538,7.4176057945132134
us with,6,0,2,3.226082278428192,7.397967827388717
has helped,2,0,2,5.796015239180959,7.39367613747329
always prevail,2,0,2,6.881163450228856,7.381470778641163
together last,2,0,2,6.356355645818054,7.374538189761843
the enemy,14,0,2,3.4863234444331965,7.366278810461113
fight for,9,0,2,3.6130284076382115,7.362598220835049
through together,2,0,2,6.049329668128531,7.3556732140416
up together,2,0,2,6.049329668128531,7.3556732140416
constantly trains,2,0,2,8.051801134727725,7.350038409665364
office held,2,0,2,8.051801134727725,7.350038409665364
one who,8,0,2,3.1613691041885543,7.342975993036547
positions at,2,0,2,5.652843538883274,7.334491243715226
even more,2,0,2,5.84858811600937,7.33401695037088
life win,2,0,2,5.84858811600937,7.33401695037088
are preparing,4,0,2,5.841483732723665,7.325363334415134
helps protect,3,0,2,4.763057192553226,7.317962624596339
donetsk direction,2,0,2,5.545666492299049,7.317867069543403
when there,2,0,2,5.545666492299049,7.317867069543403
truth about,3,0,2,7.288527897956714,7.299865139765806
thanks to,12,0,2,2.931389674440081,7.294944125334386
again for,9,0,2,3.923329786350545,7.294272153262159
helps ukraine,12,0,2,2.389752438173118,7.293936790088289
be sure,3,0,2,4.553958055079049,7.2932753163219335
anti-aircraft missile,2,0,2,7.9265672053363705,7.283477549715315
worked out,2,0,2,7.9265672053363705,7.283477549715315
for ukraine,67,0,2,1.0025428366151914,7.2827203626833255
has become,2,0,2,6.751810060640457,7.277800462713144
evil has,2,0,2,6.751810060640456,7.277800462713143
this award,5,0,2,3.731367134276373,7.2719516788579845
these powerful,2,0,2,5.5276095342512335,7.268616499965673
their lives,2,0,2,5.478904256122343,7.257940061223054
a great,4,0,2,4.0944514702634685,7.236012754974203
important now,3,0,2,4.377962833050419,7.230690493672302
being liberated,2,0,2,6.692898724037483,7.228858148030235
where we,3,0,2,6.049992094940679,7.193758399897215
us fight,3,0,2,4.4530443248384675,7.191795158734392
do not,2,0,2,5.698093312860016,7.188052368635551
will strengthen,3,0,2,4.666473920668081,7.1853068923103285
resilience and,8,0,2,4.1962997986561525,7.170251330681464
not give,2,0,2,5.853301634245409,7.168420125164552
is currently,7,0,2,6.434546518787453,7.154089347082608
who defends,8,0,2,4.558662009540929,7.15189172810525
spoke with,6,0,2,6.499628160921999,7.127775087977057
european institutions,2,0,2,5.809745645560301,7.125190715542666
can live,2,0,2,5.287707280937653,7.119959283566018
by russia,2,0,2,5.271017046497273,7.113672299517394
when russia,2,0,2,5.271017046497273,7.113672299517394
on sanctions,3,0,2,4.797345597795989,7.107127730532339
our partners,8,0,2,4.526961894329261,7.102917168483008
care about,2,0,2,6.061130950586576,7.102104817819309
today i,4,0,2,3.746785451691378,7.098488041037307
enemy near,2,0,2,7.624073944082108,7.098094617665828
enemy strikes,2,0,2,7.624073944082108,7.098094617665828
poland can,2,0,2,7.624073944082109,7.098094617665828
were heard,2,0,2,7.624073944082108,7.098094617665828
were injured,2,0,2,7.624073944082108,7.098094617665828
work quickly,2,0,2,6.534462178970567,7.092413190802591
not only,2,0,2,5.485435095605484,7.091355635102456
on awarding,3,0,2,5.416598056131938,7.066800067009761
ukraine needs,3,0,2,5.416598056131938,7.066800067009761
russian assaults,3,0,2,7.01715677142667,7.065544244572725
about two,2,0,2,5.567260485134523,7.055052124183177
i wish,6,0,2,4.346343437899906,7.050755325170548
did not,2,0,2,6.486763273324301,7.050069674897313
live united,2,0,2,5.193985128615776,7.047849377708336
defending mykolaiv,2,0,2,7.540621528657152,7.041661445162215
special operations,2,0,2,7.540621528657152,7.041661445162215
the fact,15,0,2,4.173389655306755,7.040096052340952
you all,22,0,2,1.6154087395491379,7.023703935309047
joint work,2,0,2,5.52718425870171,7.013285410530174
36th separate,3,0,2,5.872422272997597,6.999896453451241
our land,7,0,2,3.9469058936174233,6.999305708750295
let life,2,0,2,5.298707361412137,6.981918039507811
at a,4,0,2,3.747394593651556,6.973542890737382
in combat,6,0,2,3.3501852925805724,6.951599694537722
injured as,2,0,2,7.392059895524622,6.936383398416235
minister trudeau,2,0,2,7.392059895524621,6.936383398416234
after being,2,0,2,5.0827521696859055,6.934663241818087
most important,2,0,2,5.451534907476606,6.933232730324602
air assault,2,0,2,5.0556930215719005,6.921370569229511
is defending,4,0,2,3.9508511768688317,6.917601521601459
important thing,2,0,2,5.173473321613011,6.911671425896611
kyiv region,2,0,2,5.415745917975256,6.894834729151212
was made,2,0,2,5.216887531680912,6.894110603409092
strengthen our,8,0,2,4.974167357654748,6.892621307562655
for being,13,0,2,3.2979745161674985,6.891900608224364
strengthening air,2,0,2,7.325297699496176,6.887241126266909
ukrainian heroes,3,0,2,4.137608088878933,6.863972481324099
dear prime,3,0,2,4.436845533771255,6.862305628169341
together we,3,0,2,4.161928092333705,6.861697642453356
extraordinary strength,2,0,2,6.277317116851118,6.858073663910767
but i,3,0,2,4.275848791630957,6.8508032865654025
defense of,11,0,2,2.3883995657881503,6.839714950767234
defends life,2,0,2,5.062176784630949,6.838985915206615
fighters of,8,0,2,3.995331833355534,6.831373786760483
have a,5,0,2,3.2005381855721824,6.82691310911677
everyone in,17,0,2,1.767466135096134,6.823422562514962
decision was,2,0,2,5.0916534818276356,6.822713086790999
especially grateful,2,0,2,5.347781492752805,6.82103896554368
russian evil,2,0,2,5.347781492752805,6.82103896554368
helping those,2,0,2,5.214063828357231,6.8007352987818965
state emergency,2,0,2,7.203795184383513,6.795185486789805
protects ukrainians,2,0,2,4.960069033884737,6.790544721994337
attention to,10,0,2,3.1402019922626123,6.782508319801502
held a,3,0,2,4.6976827635067595,6.7814140488197445
know that,4,0,2,4.866720853419027,6.780108246779199
fights and,9,0,2,2.6140366748867563,6.778401609563649
dear members,4,0,2,6.437964960317416,6.77202409810553
dear participants,3,0,2,5.661047662409411,6.76439135668205
institutions more,2,0,2,7.148154496648664,6.751985557387304
stand together,2,0,2,7.148154496648664,6.751985557387304
president von,2,0,2,6.136451588900036,6.724064742326667
russian strike,2,0,2,6.136451588900036,6.724064742326667
your bravery,9,0,2,4.790168311716027,6.7230957638183515
200 million,1,0,2,8.1291160329093,6.712234733142707
almost 200,1,0,2,8.1291160329093,6.712234733142707
almost three,1,0,2,8.1291160329093,6.712234733142707
armored demining,1,0,2,8.1291160329093,6.712234733142707
character back,1,0,2,8.1291160329093,6.712234733142707
eur 200,1,0,2,8.1291160329093,6.712234733142707
jointly organizing,1,0,2,8.1291160329093,6.712234733142707
meaningful negotiations,1,0,2,8.1291160329093,6.712234733142707
my situation,1,0,2,8.1291160329093,6.712234733142707
right signals,1,0,2,8.1291160329093,6.712234733142707
without waiting,1,0,2,8.1291160329093,6.712234733142707
european union,10,0,2,9.85849862225614,6.708130299119646
any circumstances,1,0,2,7.792573034895474,6.70069725793051
assistance packages,1,0,2,7.792573034895474,6.70069725793051
brave heart,1,0,2,7.792573034895474,6.70069725793051
historic strengthening,1,0,2,7.792573034895474,6.70069725793051
must show,1,0,2,7.792573034895474,6.70069725793051
part online,1,0,2,7.792573034895474,6.70069725793051
polish heart,1,0,2,7.792573034895474,6.70069725793051
several meaningful,1,0,2,7.792573034895474,6.70069725793051
sincere interest,1,0,2,7.792573034895474,6.70069725793051
unwavering protection,1,0,2,7.792573034895474,6.70069725793051
consistent efficiency,1,0,2,7.792573034895473,6.700697257930509
constantly working,1,0,2,7.792573034895473,6.700697257930509
my friend,1,0,2,7.792573034895473,6.700697257930509
positive news,1,0,2,7.792573034895473,6.700697257930509
tavria task,1,0,2,7.792573034895473,6.700697257930509
terrorists need,1,0,2,7.792573034895473,6.700697257930509
aggression even,1,0,2,7.456030031874119,6.700669696969096
terrorist attack,1,0,2,7.456030031874119,6.700669696969096
of ukraine,37,0,2,1.196639611245676,6.6997581359633225
border guards,8,0,2,9.9461075817965785,6.69855182722693
this war,4,0,2,3.875081033683334,6.696823714020324
all ukrainians,6,0,2,3.107878822545118,6.696406414727627
we also,5,0,2,3.1334453205456696,6.6846397587025015
state has,2,0,2,4.804836835652283,6.677121925730488
an important,2,0,2,4.904707543339731,6.663994242161172
today there,2,0,2,4.904707543339731,6.663994242161172
did it,2,0,2,6.072796364351023,6.6623889307202475
about ukraine,8,0,2,2.778956259745664,6.655762167987884
day of,8,0,2,2.9730943978602564,6.650904419892963
infantry brigade,3,0,2,6.560888706141926,6.6480259989814945
80th airborne,1,0,2,7.20464483218483,6.647432064484121
humanitarian aid,1,0,2,7.20464483218483,6.647432064484121
infantry brigades,1,0,2,7.20464483218483,6.647432064484121
occupier must,1,0,2,7.20464483218483,6.647432064484121
quickly restore,1,0,2,7.20464483218483,6.647432064484121
senior soldier,1,0,2,7.20464483218483,6.647432064484121
states armed,1,0,2,7.20464483218483,6.647432064484121
of europe,9,0,2,2.608772131371893,6.645659395158854
another decree,1,0,2,7.541187840214425,6.6423246161469685
decisions approved,1,0,2,7.541187840214425,6.6423246161469685
financial packages,1,0,2,7.541187840214425,6.6423246161469685
historical truth,1,0,2,7.541187840214424,6.6423246161469685
if exactly,1,0,2,7.541187840214424,6.6423246161469685
ordinary citizens,1,0,2,7.541187840214425,6.6423246161469685
take care,1,0,2,7.541187840214424,6.6423246161469685
take part,1,0,2,7.541187840214424,6.6423246161469685
three brigades,1,0,2,7.541187840214424,6.6423246161469685
without any,1,0,2,7.541187840214424,6.6423246161469685
ukrainian life,3,0,2,3.9415792694343477,6.626991076970511
from all,7,0,2,2.7170159529290294,6.626429828309847
entire state,2,0,2,5.057140107426479,6.62379659404324
your courage,7,0,2,3.96123319571842,6.621117705762897
trains our,7,0,2,4.845927289196263,6.616083000761129
terrorist state,2,0,2,6.012935290707281,6.603808694284049
is very,5,0,2,3.1258453331050475,6.596877617922574
36th brigades,1,0,2,6.953259627486596,6.596231185591385
brings ukraine's,1,0,2,6.953259627486596,6.596231185591385
many times,1,0,2,6.953259627486596,6.596231185591385
taking care,1,0,2,6.953259627486596,6.596231185591385
not yet,2,0,2,6.9521265230135345,6.595156024400502
thanks everybody,2,0,2,6.9521265230135345,6.595156024400502
ordinary people,3,0,2,5.511341969020281,6.595024585790116
president biden,11,0,2,9.621761352025894,6.5872520829179715
liberated areas,1,0,2,7.003903360305352,6.576304876896777
near zaporizhzhia,1,0,2,7.003903360305352,6.576304876896777
real stability,1,0,2,7.003903360305352,6.576304876896777
british character,1,0,2,7.003903360305352,6.576304876896775
exactly allows,1,0,2,7.003903360305352,6.576304876896775
honorable ambassadors,1,0,2,7.003903360305352,6.576304876896775
justice prevail,1,0,2,7.003903360305352,6.576304876896775
saved infrastructure,1,0,2,7.003903360305352,6.576304876896775
truly global,1,0,2,7.003903360305352,6.576304876896775
destroyed during,1,0,2,7.340446373343893,6.569291342343312
kherson anti-aircraft,1,0,2,7.340446373343893,6.569291342343312
possible thanks,1,0,2,7.340446373343893,6.569291342343312
preparing agreements,1,0,2,7.340446373343893,6.569291342343312
preparing several,1,0,2,7.340446373343893,6.569291342343312
step they,1,0,2,7.340446373343893,6.569291342343312
steps which,1,0,2,7.340446373343893,6.569291342343312
whose desire,1,0,2,7.340446373343893,6.569291342343312
become another,1,0,2,7.340446373343892,6.569291342343311
glorious 35th,1,0,2,7.340446373343892,6.569291342343311
jointly preparing,1,0,2,7.340446373343892,6.569291342343311
marine battalion,1,0,2,7.340446373343892,6.569291342343311
particularly difficult,1,0,2,7.340446373343892,6.569291342343311
terrorists continue,1,0,2,7.340446373343892,6.569291342343311
200 ambulances,1,0,2,8.640012413061083,6.562426590823158
additional armored,1,0,2,8.640012413061083,6.562426590823158
back then,1,0,2,8.640012413061083,6.562426590823158
celebrate several,1,0,2,8.640012413061083,6.562426590823158
consistent demilitarization,1,0,2,8.640012413061083,6.562426590823158
defended position,1,0,2,8.640012413061083,6.562426590823158
determination right,1,0,2,8.640012413061083,6.562426590823158
eu committee,1,0,2,8.640012413061083,6.562426590823158
found safety,1,0,2,8.640012413061083,6.562426590823158
fully implemented,1,0,2,8.640012413061083,6.562426590823158
glorious 79th,1,0,2,8.640012413061083,6.562426590823158
historical relations,1,0,2,8.640012413061083,6.562426590823158
jointly prepared,1,0,2,8.640012413061083,6.562426590823158
particularly celebrate,1,0,2,8.640012413061083,6.562426590823158
provide hospitals,1,0,2,8.640012413061083,6.562426590823158
